Career_Path,Python_Skill,Java_Skill,JavaScript_Skill,SQL_Skill,C++_Skill,R_Skill,Machine_Learning_Skill,Deep_Learning_Skill,NLP_Skill,Computer_Vision_Skill,React_Skill,Node.js_Skill,Django_Skill,FastAPI_Skill,Docker_Skill,AWS_Skill,Azure_Skill,GCP_Skill,Kubernetes_Skill,Terraform_Skill,TensorFlow_Skill,PyTorch_Skill,Scikit-learn_Skill,Pandas_Skill,NumPy_Skill,System_Design_Skill,Data_Structures_Skill,Algorithms_Skill,Statistics_Skill,Linear_Algebra_Skill,CGPA,Experience_Years,Primary_Interest,Secondary_Interest,Personality_Type,Education_Level,Certifications,Projects_Completed,GitHub_Repos,Hackathons,Internships,Expected_Salary,Job_Market_Demand,Satisfaction_Score
Data Scientist,7,2,4,6,5,4,7,8,5,1,3,1,1,3,2,2,2,5,1,5,7,3,5,10,8,2,4,2,9,3,8.35,0,Cybersecurity,Blockchain,Innovative,M.Sc,6,7,4,5,0,160000,6,87
Mobile Developer,4,7,6,2,1,2,6,1,1,1,6,2,1,1,3,6,3,1,4,4,5,1,3,2,2,6,5,6,3,4,7.67,2,Web Development,Web Development,Creative,M.Tech,3,2,50,7,3,50000,5,80
Product Manager,4,4,3,5,5,3,7,6,1,5,2,2,2,3,4,2,7,3,2,5,1,4,4,7,1,10,2,4,9,7,9.97,1,Cloud Computing,Product Design,Collaborative,M.Tech,5,2,21,8,1,100000,8,68
Product Manager,4,3,1,8,6,3,1,4,2,7,2,4,3,6,3,5,2,4,2,5,6,3,2,3,4,6,6,3,7,2,9.54,1,IoT,Data Analytics,Collaborative,B.Sc,0,4,6,8,3,110000,10,61
Blockchain Developer,5,4,9,1,7,1,5,5,3,4,6,5,2,6,5,7,3,3,4,5,2,1,6,3,3,1,9,7,3,4,8.71,1,Cybersecurity,AR/VR,Leadership,BCA,4,8,3,5,3,140000,7,91
DevOps Engineer,6,3,5,6,4,4,1,2,1,5,5,6,5,7,9,9,4,2,7,9,1,4,5,6,7,10,2,2,2,3,8.65,2,Data Analytics,AR/VR,Creative,MCA,8,12,14,8,1,150000,9,71
Mobile Developer,7,10,8,7,4,3,1,1,5,3,7,5,3,6,5,1,1,5,5,4,1,3,5,2,5,7,7,9,6,3,9.27,3,AR/VR,Product Design,Creative,B.Tech,7,12,47,0,1,220000,7,99
AI/ML Engineer,9,1,1,2,2,3,7,10,8,7,7,4,5,5,1,1,4,7,5,1,8,8,5,1,1,3,6,1,5,6,8.4,2,AR/VR,Blockchain,Leadership,B.Sc,6,1,19,0,3,100000,8,68
DevOps Engineer,5,1,3,3,1,1,4,3,5,4,2,4,2,6,8,8,5,3,10,10,1,6,3,2,2,10,3,2,1,5,9.56,5,Blockchain,Web Development,Analytical,BCA,2,0,33,9,3,80000,9,70
UI/UX Designer,1,3,7,4,1,4,4,1,2,6,9,7,3,4,1,7,3,6,4,1,2,3,2,3,3,5,3,2,7,1,9.43,4,AR/VR,Product Design,Creative,B.Sc,7,6,44,8,3,290000,5,69
Cloud Architect,4,5,4,4,5,3,2,3,4,1,4,3,1,7,7,7,7,6,10,7,3,6,1,6,2,10,4,2,3,3,6.04,5,Cloud Computing,IoT,Innovative,B.Tech,3,2,37,1,0,140000,5,71
DevOps Engineer,5,3,4,2,1,3,3,6,3,2,3,3,4,1,10,7,2,3,10,7,5,4,1,4,1,10,4,2,4,7,7.24,2,Mobile Apps,Cybersecurity,Leadership,M.Sc,5,7,24,7,3,140000,7,63
UI/UX Designer,1,3,8,2,1,5,6,7,6,2,10,3,3,1,4,1,7,5,1,3,1,1,3,4,5,2,2,5,5,5,9.24,2,Blockchain,Blockchain,Creative,M.Sc,1,9,20,10,3,270000,10,85
Blockchain Developer,5,1,10,3,8,1,4,1,3,6,3,3,4,5,3,4,3,2,1,6,5,3,2,4,1,1,8,7,1,3,6.82,5,Cloud Computing,IoT,Collaborative,B.Tech,5,15,11,10,2,40000,5,66
AI/ML Engineer,9,4,4,1,4,3,10,8,9,9,7,2,4,1,1,4,3,4,3,1,9,7,5,5,1,1,4,4,1,1,8.76,1,Data Analytics,Data Analytics,Creative,BCA,4,0,39,2,3,140000,6,100
Product Manager,3,1,2,8,5,3,2,2,1,5,4,2,2,5,3,1,6,3,4,1,5,3,1,1,5,9,5,7,7,1,6.27,3,IoT,AI/ML,Collaborative,M.Sc,0,8,13,9,2,280000,7,90
Full Stack Developer,4,1,7,7,4,1,3,6,2,7,9,8,9,4,8,4,6,1,2,3,2,2,3,6,3,1,3,1,4,1,7.84,1,Product Design,Blockchain,Leadership,B.Tech,6,0,35,4,1,40000,7,67
Data Scientist,10,2,5,9,3,2,9,5,5,3,6,6,4,1,5,4,1,4,2,3,5,3,4,10,9,4,1,4,9,1,6.88,1,Web Development,AI/ML,Detail-oriented,MCA,8,1,2,0,0,270000,5,91
Full Stack Developer,4,2,10,8,3,2,1,3,5,2,7,8,5,5,6,2,2,1,2,5,4,5,2,3,2,1,7,7,2,4,6.07,5,AR/VR,Mobile Apps,Detail-oriented,BCA,6,3,19,2,1,120000,8,91
Cybersecurity Analyst,5,4,1,6,8,1,5,3,1,4,3,1,1,1,6,5,3,2,3,1,6,5,5,3,1,7,8,10,1,3,8.6,2,Data Analytics,AI/ML,Collaborative,M.Sc,7,10,41,3,0,120000,6,85
DevOps Engineer,8,4,1,1,3,6,3,6,3,3,4,2,2,2,10,7,3,4,10,10,1,6,1,2,4,7,4,4,2,6,8.75,1,AR/VR,Web Development,Collaborative,BCA,1,4,50,5,0,260000,5,83
Data Scientist,10,2,5,10,2,3,7,9,4,4,2,5,7,3,5,3,1,4,4,7,8,1,5,10,7,1,4,2,10,3,7.7,2,Data Analytics,IoT,Innovative,M.Tech,0,3,27,9,0,40000,6,74
Data Scientist,10,5,4,10,2,6,10,9,1,1,1,4,1,3,2,3,3,3,1,3,8,5,1,7,10,6,5,3,10,4,9.17,3,Mobile Apps,Data Analytics,Collaborative,B.Sc,0,8,24,0,2,90000,9,94
Blockchain Developer,6,4,7,1,7,1,2,6,3,4,1,4,3,3,1,7,1,3,4,5,4,5,3,4,5,3,10,10,3,2,6.53,1,Blockchain,AI/ML,Leadership,M.Tech,6,14,11,10,3,230000,8,94
Cloud Architect,2,4,4,4,4,2,4,6,1,3,4,4,1,2,8,9,6,10,8,8,4,1,4,4,1,7,2,3,3,2,8.82,5,AI/ML,Web Development,Creative,B.Tech,6,11,44,6,3,100000,7,62
Product Manager,6,4,1,9,6,7,6,4,4,1,3,5,5,4,1,4,1,4,1,3,3,3,1,3,6,8,5,3,9,5,8.28,5,Cloud Computing,Product Design,Analytical,MCA,1,13,43,2,0,120000,10,87
Cloud Architect,5,4,1,2,1,3,1,1,7,4,1,1,2,1,8,9,8,7,8,8,2,2,3,3,4,8,4,5,7,1,6.11,0,Product Design,Web Development,Leadership,M.Sc,0,10,39,6,0,250000,10,64
DevOps Engineer,6,4,6,2,5,2,3,2,3,1,3,2,2,6,9,7,1,1,9,7,5,2,5,3,6,6,1,1,2,3,6.25,5,IoT,Cloud Computing,Detail-oriented,M.Sc,2,12,44,2,0,250000,5,100
DevOps Engineer,8,4,1,4,5,3,7,4,6,4,3,4,7,1,10,9,2,1,7,7,2,3,4,3,4,8,5,1,2,1,6.98,1,Mobile Apps,Cloud Computing,Creative,M.Tech,5,8,46,6,0,240000,6,83
Product Manager,5,1,1,5,6,5,3,1,2,1,4,6,6,4,1,1,1,3,5,6,1,1,3,1,2,8,3,1,9,4,9.35,0,Mobile Apps,Blockchain,Innovative,M.Tech,2,13,33,0,2,260000,5,61
Data Scientist,10,2,2,8,1,1,7,6,2,4,2,6,4,3,2,3,1,5,4,2,5,4,4,10,6,4,3,5,10,1,9.74,3,Cloud Computing,AR/VR,Creative,MCA,3,4,42,6,3,60000,5,87
Product Manager,3,3,4,6,5,4,4,4,4,7,5,1,3,6,5,1,2,2,2,1,1,1,2,3,4,7,3,1,7,1,6.68,4,Cybersecurity,Data Analytics,Innovative,B.Sc,7,5,49,5,0,200000,7,67
Cybersecurity Analyst,8,8,4,3,5,2,5,3,5,4,4,5,2,1,4,1,1,4,2,1,6,3,2,6,4,9,7,9,2,4,6.89,5,Product Design,Cloud Computing,Collaborative,M.Tech,4,15,46,9,2,140000,9,98
Cloud Architect,2,2,5,1,1,4,3,3,5,3,1,7,3,1,10,7,10,10,10,9,1,1,3,1,1,7,5,1,3,6,6.05,4,Product Design,Product Design,Innovative,M.Sc,5,3,45,3,0,110000,8,87
Product Manager,6,4,1,7,1,5,4,4,2,1,4,3,5,2,5,1,6,1,1,3,5,1,4,2,7,10,4,1,9,5,9.13,0,Data Analytics,Blockchain,Leadership,M.Sc,8,8,32,2,2,170000,6,89
DevOps Engineer,9,3,4,2,4,1,5,3,1,7,4,2,4,3,7,10,7,1,10,8,1,1,3,2,3,7,3,5,3,2,8.71,2,Blockchain,IoT,Collaborative,BCA,6,15,42,7,2,230000,6,71
Cloud Architect,1,3,1,1,6,4,5,1,3,1,4,1,6,4,10,10,8,9,7,9,5,1,3,3,3,9,6,4,3,6,9.18,0,Blockchain,Cloud Computing,Creative,M.Tech,2,0,23,8,0,70000,9,60
Full Stack Developer,8,3,7,7,1,4,5,3,2,4,9,7,8,4,5,1,2,3,1,5,2,2,4,1,5,3,5,4,5,3,7.13,0,IoT,Cybersecurity,Creative,B.Sc,2,8,31,6,2,210000,10,98
Cybersecurity Analyst,7,4,6,6,9,5,1,6,2,4,1,6,4,1,3,2,1,1,5,2,5,4,6,5,4,9,5,9,2,1,9.78,0,Web Development,Blockchain,Detail-oriented,B.Tech,4,8,45,0,1,300000,6,62
UI/UX Designer,5,1,7,4,6,1,5,1,2,3,9,3,4,3,4,4,4,3,1,1,4,2,1,2,1,3,1,1,5,1,9.2,2,Data Analytics,Cybersecurity,Leadership,B.Tech,0,6,36,2,1,220000,6,98
Full Stack Developer,8,2,9,8,1,2,4,1,1,4,9,8,6,8,5,1,7,3,3,6,1,2,2,2,1,5,5,1,4,1,8.43,2,Product Design,AR/VR,Creative,M.Sc,1,15,2,3,2,100000,9,92
Full Stack Developer,4,6,10,8,6,2,7,1,1,2,9,7,5,8,7,4,5,2,2,2,1,7,1,3,1,3,1,6,6,5,9.87,3,AI/ML,Product Design,Leadership,BCA,4,9,37,7,2,150000,7,73
Data Scientist,9,4,5,10,3,3,10,7,4,1,3,1,1,5,2,3,4,4,2,3,7,6,3,9,10,1,4,1,9,2,7.88,3,AI/ML,Web Development,Detail-oriented,M.Tech,3,2,21,0,2,260000,9,99
UI/UX Designer,5,1,7,7,4,4,4,2,4,4,7,1,1,1,3,5,2,5,5,3,6,1,3,1,2,3,1,3,7,1,8.7,4,Web Development,Data Analytics,Analytical,BCA,8,4,22,6,0,110000,5,83
Data Scientist,8,3,2,10,5,5,9,5,5,4,2,3,2,4,3,3,3,5,6,3,7,2,3,10,6,1,4,1,10,3,9.86,4,Cloud Computing,Cloud Computing,Detail-oriented,BCA,0,4,12,3,0,240000,9,61
UI/UX Designer,4,2,9,6,5,3,3,4,5,3,10,5,1,1,3,4,3,1,3,2,1,3,4,3,4,2,7,3,5,3,8.21,4,Cybersecurity,Cybersecurity,Detail-oriented,M.Sc,1,6,16,5,0,70000,6,91
AI/ML Engineer,10,3,1,4,4,1,10,10,6,10,2,1,2,5,4,3,5,5,3,1,8,8,2,3,4,5,1,5,3,3,9.12,1,AI/ML,Cybersecurity,Leadership,B.Tech,7,9,46,4,2,50000,10,66
Mobile Developer,5,6,7,4,1,1,1,3,4,5,9,2,1,3,5,6,1,1,7,2,3,5,3,5,6,3,8,6,1,3,7.05,3,Cloud Computing,AR/VR,Leadership,M.Sc,0,14,37,4,0,150000,9,64
Cybersecurity Analyst,9,6,3,7,6,6,4,2,4,4,3,5,1,3,3,3,6,2,3,3,2,2,4,2,1,9,6,9,4,6,6.63,2,Blockchain,Blockchain,Collaborative,M.Sc,3,10,27,4,0,220000,5,73
Cloud Architect,4,4,3,6,1,1,7,7,1,2,3,5,3,1,9,9,10,8,7,9,1,6,5,3,7,7,3,1,3,3,6.62,2,Product Design,Mobile Apps,Detail-oriented,MCA,3,9,39,7,0,140000,7,64
Cloud Architect,3,3,2,2,5,6,3,1,2,1,3,4,6,7,9,8,9,10,9,10,1,1,5,1,4,7,6,2,6,6,8.8,2,AR/VR,Data Analytics,Creative,M.Sc,5,3,12,3,2,220000,5,86
UI/UX Designer,2,7,9,3,1,1,6,5,7,3,7,5,1,2,2,1,1,1,5,1,4,1,1,2,5,4,1,4,5,2,8.87,1,IoT,Data Analytics,Detail-oriented,M.Sc,0,1,21,5,2,150000,10,72
Product Manager,5,7,6,6,1,7,4,2,3,3,4,5,1,2,6,1,4,3,3,5,2,5,1,1,1,9,5,3,6,3,8.72,2,Mobile Apps,Web Development,Creative,MCA,6,15,7,7,0,70000,9,100
Cloud Architect,5,5,3,6,4,1,4,2,7,4,1,1,3,2,8,9,7,9,10,10,1,6,4,3,2,9,2,5,6,3,8.97,4,Data Analytics,Web Development,Analytical,MCA,2,14,7,2,0,230000,10,77
DevOps Engineer,5,3,2,3,3,3,2,2,4,5,3,7,4,2,8,8,2,2,9,10,4,7,1,1,3,9,3,1,5,6,6.3,5,Product Design,Blockchain,Innovative,B.Tech,8,8,42,0,2,90000,10,88
Data Scientist,9,5,4,9,3,1,7,8,5,4,7,1,6,3,2,5,6,1,3,5,7,1,5,10,9,2,4,4,8,1,7.12,1,Cloud Computing,Mobile Apps,Collaborative,BCA,8,7,44,5,0,210000,5,80
Blockchain Developer,7,3,8,4,8,6,4,5,1,1,2,1,2,4,5,6,3,4,1,3,5,4,4,5,1,1,7,7,1,2,6.56,3,Mobile Apps,Cybersecurity,Collaborative,B.Tech,6,15,23,3,2,240000,7,84
AI/ML Engineer,8,1,3,2,5,6,9,10,10,10,1,2,1,4,1,3,4,1,5,3,7,7,3,3,3,4,3,1,3,5,9.11,1,Web Development,Mobile Apps,Collaborative,MCA,0,12,29,6,1,80000,6,61
Cybersecurity Analyst,9,4,7,6,8,4,2,6,1,2,3,4,3,6,5,4,5,6,1,4,4,3,1,3,3,9,9,8,2,7,8.72,2,Data Analytics,IoT,Detail-oriented,M.Tech,6,14,39,7,2,220000,8,81
DevOps Engineer,8,3,3,1,6,1,2,4,2,1,1,3,6,2,10,9,3,5,8,8,1,2,6,2,5,6,1,6,1,4,8.82,5,Data Analytics,Web Development,Analytical,MCA,8,4,27,3,2,100000,8,72
Blockchain Developer,8,5,10,1,9,3,6,3,1,1,1,5,7,4,6,4,6,3,6,5,6,2,3,3,3,4,7,10,5,5,6.13,4,Product Design,Data Analytics,Collaborative,MCA,3,14,49,4,2,220000,8,78
Mobile Developer,4,7,10,4,1,1,1,2,4,1,9,3,2,4,4,1,3,3,1,5,2,2,2,3,7,5,7,6,1,1,7.81,5,Cloud Computing,Cybersecurity,Creative,B.Tech,6,14,2,0,2,50000,5,83
AI/ML Engineer,10,2,6,5,4,1,10,10,8,10,3,7,3,7,1,6,1,4,4,4,10,8,2,4,3,1,4,4,2,1,9.69,1,Mobile Apps,AI/ML,Innovative,BCA,4,13,29,8,2,50000,5,71
UI/UX Designer,1,1,7,5,2,2,4,3,2,1,10,3,1,2,1,1,1,1,2,1,6,1,3,3,3,1,3,3,3,5,8.66,3,Cybersecurity,Data Analytics,Collaborative,B.Sc,2,11,47,10,1,40000,7,83
DevOps Engineer,9,1,5,1,4,3,1,5,1,4,3,1,3,1,10,7,4,1,10,8,4,4,3,3,7,8,4,4,1,5,9.01,0,IoT,Cloud Computing,Creative,MCA,7,10,4,3,3,80000,5,62
Full Stack Developer,8,2,9,8,2,1,3,5,4,1,10,9,7,7,9,3,3,1,4,3,1,1,1,2,6,2,2,5,3,1,8.91,3,Cybersecurity,Cloud Computing,Innovative,BCA,2,5,13,4,1,160000,8,100
AI/ML Engineer,9,6,5,3,2,5,10,10,8,6,4,1,1,1,6,3,4,1,6,1,7,8,1,5,3,4,1,5,3,5,6.94,0,AR/VR,Data Analytics,Creative,M.Tech,3,9,39,2,0,70000,5,70
Data Scientist,10,1,2,7,4,1,10,5,3,3,4,4,2,1,5,2,3,3,6,5,6,4,1,9,7,5,3,2,10,5,9.4,3,Data Analytics,AI/ML,Innovative,MCA,6,5,13,8,3,210000,7,63
Cybersecurity Analyst,9,7,4,3,6,3,6,5,2,2,3,7,4,1,3,3,3,1,2,4,3,5,1,3,1,10,6,9,3,1,7.09,0,AI/ML,Mobile Apps,Collaborative,B.Sc,6,2,40,9,1,220000,8,73
Full Stack Developer,6,3,7,8,2,6,4,5,1,3,10,8,7,8,8,4,2,4,3,3,1,1,4,7,3,1,4,4,2,4,9.21,2,Mobile Apps,Data Analytics,Collaborative,MCA,8,12,33,3,0,220000,9,72
Cloud Architect,2,4,7,6,1,4,1,5,3,4,5,1,5,2,10,7,7,9,7,7,4,5,7,6,5,7,5,5,3,3,9.7,2,Cybersecurity,Blockchain,Collaborative,B.Tech,2,11,17,10,1,40000,10,95
Cloud Architect,2,1,5,3,4,3,5,1,5,2,4,1,1,1,10,9,9,7,7,7,2,3,4,2,4,10,3,1,5,6,7.7,1,AI/ML,AR/VR,Analytical,M.Tech,1,2,42,7,0,90000,8,73
Full Stack Developer,7,4,9,6,3,3,3,4,6,4,10,7,5,6,5,2,1,2,1,4,3,2,3,7,6,1,4,7,3,5,8.19,0,Mobile Apps,Cloud Computing,Innovative,B.Sc,4,9,36,0,1,50000,7,62
Cloud Architect,5,6,1,5,1,5,5,5,3,7,6,1,6,2,10,10,9,9,8,7,2,4,4,1,3,10,4,7,3,4,9.74,5,Web Development,Cloud Computing,Creative,MCA,5,10,17,9,1,290000,10,75
Data Scientist,8,3,3,9,4,7,10,7,3,2,5,6,2,3,1,6,1,1,3,6,9,2,2,7,10,1,6,2,10,3,7.17,1,AR/VR,Data Analytics,Detail-oriented,MCA,8,4,13,0,0,190000,6,91
DevOps Engineer,5,4,3,1,5,5,4,2,2,3,3,2,4,3,10,9,2,3,9,10,3,5,1,1,1,8,2,1,4,2,8.61,2,Cloud Computing,Blockchain,Collaborative,MCA,1,12,23,0,3,180000,8,93
Full Stack Developer,5,1,9,7,2,3,5,6,2,4,7,8,7,6,6,3,2,6,4,4,5,4,5,5,3,1,2,3,2,4,7.51,0,IoT,AR/VR,Detail-oriented,B.Tech,0,4,46,0,0,70000,10,98
Cloud Architect,5,2,2,4,7,1,4,3,4,5,2,3,2,5,10,9,9,6,10,7,4,7,1,7,2,10,4,1,1,1,6.89,0,Web Development,AI/ML,Detail-oriented,B.Sc,0,2,37,9,3,60000,10,64
AI/ML Engineer,10,5,4,4,1,3,9,10,10,8,2,4,2,1,2,1,3,1,3,5,9,7,3,4,2,1,4,4,1,3,7.64,1,Cloud Computing,Web Development,Detail-oriented,B.Sc,1,4,33,5,2,250000,5,76
Mobile Developer,7,7,7,1,1,4,1,1,4,5,9,1,3,1,6,2,5,3,6,7,1,5,2,2,1,2,5,8,6,1,6.51,5,Web Development,Data Analytics,Collaborative,M.Tech,8,13,21,2,2,70000,5,76
Data Scientist,7,6,4,7,6,4,9,5,2,5,4,2,5,4,2,1,3,1,6,5,5,2,5,9,9,2,3,1,8,1,8.83,1,AI/ML,Data Analytics,Innovative,B.Tech,1,2,42,2,3,110000,7,89
Full Stack Developer,7,3,8,5,1,4,2,6,2,3,9,8,6,4,7,5,2,6,2,2,7,6,1,5,3,1,3,1,6,3,6.09,4,Mobile Apps,Cloud Computing,Innovative,B.Sc,1,1,15,9,3,60000,5,89
DevOps Engineer,8,1,4,2,3,1,4,1,6,5,1,1,4,2,9,6,3,4,9,7,7,4,7,2,2,9,3,1,4,4,8.11,2,Data Analytics,Cybersecurity,Analytical,M.Sc,2,5,26,1,1,70000,6,72
Cybersecurity Analyst,5,6,5,4,5,2,3,3,1,1,5,5,4,1,3,3,1,1,6,2,3,2,5,4,3,9,8,8,6,3,6.86,4,AR/VR,Mobile Apps,Analytical,B.Sc,3,6,31,0,3,130000,7,87
Mobile Developer,6,8,8,3,3,3,2,5,4,4,8,1,1,4,1,3,2,3,4,5,6,3,1,5,5,7,8,9,1,1,7.67,1,Web Development,AI/ML,Creative,M.Tech,5,0,48,7,0,150000,10,92
Cloud Architect,4,4,4,1,1,1,3,6,4,3,7,4,2,3,10,7,8,8,8,10,1,3,3,6,2,8,4,3,2,1,6.94,5,Cybersecurity,AR/VR,Leadership,B.Tech,8,14,41,9,1,280000,6,74
Data Scientist,8,1,3,6,2,7,9,7,6,1,4,1,1,3,7,2,1,3,5,2,5,6,5,10,6,4,2,4,10,1,7.64,1,Blockchain,AI/ML,Creative,M.Tech,4,10,28,9,2,210000,9,72
AI/ML Engineer,7,2,3,4,2,3,8,9,6,10,1,6,2,4,3,6,1,1,2,2,10,9,1,1,5,3,1,4,2,4,7.48,5,Cybersecurity,Web Development,Leadership,BCA,7,7,17,1,3,60000,6,92
AI/ML Engineer,10,2,6,1,3,4,10,8,9,10,5,4,2,2,6,5,2,1,1,6,8,7,2,6,3,2,4,2,5,4,6.57,0,Mobile Apps,Mobile Apps,Detail-oriented,B.Sc,3,0,33,4,0,140000,5,60
UI/UX Designer,5,3,7,4,3,3,4,4,4,4,6,1,1,4,3,5,5,3,5,4,7,1,2,1,3,3,1,5,4,1,7.43,1,Product Design,Product Design,Leadership,B.Sc,4,3,33,3,2,120000,6,91
Data Scientist,7,1,4,10,5,3,9,9,1,6,2,4,1,3,3,4,1,2,3,5,8,7,3,10,6,1,4,1,8,1,7.21,2,Product Design,Cloud Computing,Creative,M.Sc,5,14,11,2,2,50000,7,90
Cybersecurity Analyst,9,7,3,1,8,5,5,1,7,1,5,4,3,3,2,4,3,1,5,3,5,1,4,2,3,6,8,8,3,1,8.64,5,Mobile Apps,Data Analytics,Innovative,BCA,1,8,7,0,2,40000,10,78
UI/UX Designer,2,1,5,3,2,5,4,5,1,3,10,3,6,3,5,6,1,4,4,5,4,2,6,1,1,3,3,1,5,5,9.76,5,Blockchain,AI/ML,Creative,BCA,2,4,11,5,3,110000,7,71
Data Scientist,10,1,4,6,6,3,7,7,5,4,4,3,6,4,5,3,3,3,4,3,9,5,3,10,9,4,1,5,10,7,9.44,2,Blockchain,Web Development,Detail-oriented,MCA,5,11,0,9,1,240000,7,84
Data Scientist,8,1,7,7,3,4,8,8,4,1,7,1,3,1,4,4,5,2,2,1,5,1,5,7,9,3,1,1,8,1,7.38,5,Cybersecurity,Blockchain,Detail-oriented,M.Tech,7,5,43,9,2,130000,10,88
AI/ML Engineer,9,1,1,1,1,3,10,10,6,6,6,5,1,3,1,5,4,4,1,5,7,10,3,4,4,3,4,2,1,3,6.07,0,Web Development,Data Analytics,Analytical,B.Tech,6,15,33,2,3,80000,6,92
UI/UX Designer,5,1,7,6,2,2,5,1,1,4,7,3,3,1,3,1,3,6,1,4,3,4,4,2,1,1,5,3,4,2,6.33,1,Cybersecurity,Data Analytics,Collaborative,B.Tech,2,7,17,3,0,280000,10,82
AI/ML Engineer,8,5,3,3,3,2,9,8,6,6,3,2,4,2,1,2,5,1,1,4,10,8,7,1,1,1,4,6,4,3,9.51,3,AR/VR,Blockchain,Leadership,M.Sc,4,15,9,8,0,120000,10,83
Cloud Architect,5,4,3,3,1,7,3,4,3,6,1,1,4,7,9,10,6,9,8,8,7,3,4,1,1,9,7,3,4,3,8.94,1,Data Analytics,Web Development,Innovative,B.Tech,1,14,26,7,2,80000,7,79
Mobile Developer,5,9,7,3,6,4,4,5,1,3,8,7,4,2,3,2,1,1,1,4,1,3,1,3,5,2,6,9,5,3,6.3,0,Mobile Apps,Web Development,Collaborative,B.Tech,4,4,30,10,3,170000,7,94
Product Manager,6,4,5,6,2,3,1,4,4,5,3,3,1,6,4,1,5,6,3,5,1,4,1,5,7,7,5,6,7,3,7.03,2,IoT,Cloud Computing,Leadership,M.Tech,3,5,32,5,2,80000,5,68
Product Manager,7,6,6,7,4,6,1,1,7,3,7,4,5,4,4,1,7,1,5,2,2,1,3,5,5,10,2,7,5,1,8.25,0,Cybersecurity,AI/ML,Analytical,M.Tech,4,10,19,3,3,280000,8,75
Full Stack Developer,4,2,7,5,1,3,1,2,1,3,9,10,8,6,7,4,3,2,5,5,4,4,3,3,5,5,2,2,4,2,9.28,2,AR/VR,Web Development,Creative,M.Tech,3,13,2,4,2,210000,7,97
Product Manager,3,3,2,9,4,3,2,6,3,5,4,5,6,1,3,3,3,4,6,5,1,5,6,2,1,10,3,3,8,4,7.49,0,IoT,Web Development,Innovative,BCA,6,2,17,10,0,200000,9,76
DevOps Engineer,6,1,2,1,7,1,3,1,5,6,1,1,1,1,9,7,6,3,7,9,2,1,6,4,2,10,5,2,1,1,7.99,3,IoT,Product Design,Detail-oriented,M.Sc,1,3,20,9,0,110000,5,73
DevOps Engineer,6,1,7,7,1,6,1,4,3,6,1,1,4,3,9,7,3,3,8,9,1,1,5,3,1,8,5,1,4,7,6.81,0,Cybersecurity,AR/VR,Leadership,M.Sc,2,7,12,10,1,70000,9,79
Cloud Architect,2,5,1,5,1,1,4,3,7,4,2,3,3,1,9,8,7,8,7,7,1,3,1,3,6,8,2,3,2,3,6.12,3,Mobile Apps,Blockchain,Innovative,MCA,6,11,49,2,1,230000,6,77
Cybersecurity Analyst,5,4,5,3,5,2,3,4,4,5,1,5,3,4,6,4,3,6,1,4,2,2,6,2,2,10,6,10,2,1,7.43,3,IoT,AR/VR,Creative,MCA,2,14,50,5,1,250000,5,97
Product Manager,6,3,3,9,1,5,1,1,5,6,2,7,3,2,6,1,5,3,5,3,1,2,2,4,1,9,3,1,6,4,6.87,0,Web Development,Web Development,Detail-oriented,BCA,5,7,10,10,1,110000,5,90
AI/ML Engineer,9,4,5,2,4,1,7,8,6,8,4,6,4,3,2,1,5,1,1,4,10,10,5,3,2,1,4,5,3,5,8.56,3,Data Analytics,Data Analytics,Detail-oriented,B.Tech,0,10,48,2,0,300000,10,91
Cybersecurity Analyst,8,4,2,3,6,2,1,3,3,4,2,1,3,5,3,3,3,1,2,4,1,1,3,3,4,7,6,6,5,2,9.09,1,Data Analytics,Mobile Apps,Creative,BCA,6,14,12,0,2,40000,9,87
Product Manager,3,3,2,8,3,7,3,3,2,5,2,4,1,4,4,4,3,3,1,1,2,7,3,1,1,6,4,3,9,3,8.45,5,Cybersecurity,AI/ML,Innovative,M.Tech,4,10,0,6,1,40000,10,84
Product Manager,5,1,7,9,3,6,1,1,1,1,7,4,6,4,1,7,5,4,3,5,1,2,6,3,5,8,4,4,6,2,7.98,1,Mobile Apps,Blockchain,Innovative,M.Sc,0,1,11,2,0,210000,6,99
Data Scientist,10,6,2,10,1,3,10,7,7,5,1,6,1,1,6,2,1,4,2,2,8,7,4,10,7,3,1,7,7,3,6.63,4,Cybersecurity,Product Design,Creative,M.Sc,8,10,13,4,0,260000,5,95
Blockchain Developer,6,3,6,4,6,2,3,5,3,3,1,2,4,1,1,5,5,7,1,4,1,2,4,5,3,3,8,10,1,1,9.46,5,AR/VR,AR/VR,Leadership,M.Sc,7,7,46,9,3,260000,8,95
Full Stack Developer,6,7,10,9,1,2,2,4,3,3,10,8,5,7,8,1,2,3,3,5,4,4,6,1,3,7,1,5,2,4,7.62,5,Cybersecurity,IoT,Collaborative,MCA,4,1,22,7,1,150000,9,97
Data Scientist,7,2,1,6,4,5,9,6,7,4,6,5,1,1,3,1,2,3,6,1,9,3,6,9,6,3,5,3,10,4,8.33,0,Data Analytics,Product Design,Analytical,B.Tech,1,9,31,0,1,140000,7,80
Cybersecurity Analyst,9,7,1,4,8,4,1,4,2,5,3,3,2,6,3,5,1,5,1,3,1,2,1,4,2,9,8,7,1,1,6.83,5,Cloud Computing,Product Design,Innovative,BCA,3,5,21,1,0,160000,6,93
